movieId,Title,Name,Genres,Poster Path
124,Emilia Pérez,Emilia Pérez,"Drama, Thriller",https://image.tmdb.org/t/p/w500/7seqaCaaXDNUHOx4DqwpoOH8pPa.jpg
125,It Ends with Us,It Ends with Us,"Romance, Drama",https://image.tmdb.org/t/p/w500/cSMdFWmajaX4oUMLx7HEDI84GkP.jpg
126,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
127,BLUE LOCK THE MOVIE -EPISODE NAGI-,劇場版ブルーロック -EPISODE 凪-,"Animation, Action, Drama",https://image.tmdb.org/t/p/w500/ae434jM5NG2kKX1rRkG5giMhpPI.jpg
128,Migration,Migration,"Animation, Action, Adventure, Comedy, Family",https://image.tmdb.org/t/p/w500/apQL85BMRgkBWQq6pBXKOLfCyaV.jpg
129,John Wick: Chapter 4,John Wick: Chapter 4,"Action, Thriller, Crime",https://image.tmdb.org/t/p/w500/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
130,Hijack 1971,하이재킹,"Action, Thriller, Crime",https://image.tmdb.org/t/p/w500/68jNkFi61MQjrJEqj2up5wZ4w5R.jpg
131,Sonic the Hedgehog 2,Sonic the Hedgehog 2,"Action, Adventure, Family, Comedy",https://image.tmdb.org/t/p/w500/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
132,The Shadow Strays,The Shadow Strays,"Action, Crime, Thriller",https://image.tmdb.org/t/p/w500/cfkcrKySRyJiIdLo6c6kNSyLFh7.jpg
133,Saving Bikini Bottom: The Sandy Cheeks Movie,Saving Bikini Bottom: The Sandy Cheeks Movie,"Animation, Comedy, Adventure, Family",https://image.tmdb.org/t/p/w500/30YnfZdMNIV7noWLdvmcJS0cbnQ.jpg
134,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,"Adventure, Fantasy",https://image.tmdb.org/t/p/w500/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
135,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,"Action, Science Fiction, Adventure",https://image.tmdb.org/t/p/w500/iADOJ8Zymht2JPMoy3R7xceZprc.jpg
136,Operation Black Ops,Operation Black Ops,"Action, Thriller",https://image.tmdb.org/t/p/w500/vMgkjQM2fHirExilsTZWJTqL33G.jpg
137,The Polar Express,The Polar Express,"Animation, Adventure, Family, Fantasy",https://image.tmdb.org/t/p/w500/eOoCzH0MqeGr2taUZO4SwG416PF.jpg
138,Diabolik - Who Are You?,Diabolik chi sei?,"Crime, Action, Mystery, Thriller",https://image.tmdb.org/t/p/w500/1DAXwi4y941ryPoGbzUlFEEiPAo.jpg
139,Shrek,Shrek,"Animation, Comedy, Fantasy, Adventure, Family",https://image.tmdb.org/t/p/w500/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
140,The Equalizer,The Equalizer,"Thriller, Action, Crime",https://image.tmdb.org/t/p/w500/9u4yW7yPA0BQ2pv9XwiNzItwvp8.jpg
141,Terrifier 2,Terrifier 2,"Horror, Thriller",https://image.tmdb.org/t/p/w500/qEAlwXbYk6IHA4ztoS2XFFaa7Xo.jpg
142,Borderlands,Borderlands,"Action, Science Fiction, Comedy",https://image.tmdb.org/t/p/w500/3NPUQ6Ywayb5ES2IP1HWrDRt1Gc.jpg
143,Elyas,Elyas,"Action, Thriller",https://image.tmdb.org/t/p/w500/dB6ojZkXfk6JFYaqZTTDUK8wj9O.jpg
144,Young Hearts,Young Hearts,"Drama, Family",https://image.tmdb.org/t/p/w500/vJDvAdRfUL6NR9VG1YVamAS105a.jpg
145,Amityville: Where the Echo Lives,Amityville: Where the Echo Lives,"Horror, Mystery",https://image.tmdb.org/t/p/w500/jqhAgE9ceTX8f9xTcqBlmXSuMG3.jpg
146,Twisters,Twisters,"Thriller, Action",https://image.tmdb.org/t/p/w500/pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg
